song_id;artist_name;song_name;danceability;energy;loudness;mode;speechness;acousticness;instrumentalness;liveness;tempo;duration;genre
52;Bon Jovi;The Distance;0.463;0.749;-8.118;0;0.0891;0.00796;0.00219;0.0558;183.048;179653;alternativeamericana
53;Onyx;The Force;0.922;0.701;-6.679;0;0.0868;0.0128;0.000822;0.0941;101.996;245947;australianundergroundhiphop
54;Eminem;The Way I Am;0.81;0.871;-2.672;0;0.241;0.13;0.000000;0.313;87.328;290427;rapmetalcore
55;Tesla;The Way It Is;0.327;0.823;-7.122;1;0.0394;0.019;0.000082;0.124;94.023;308867;hardglam
56;Lynn August;Trust In The Lord;0.639;0.219;-13.203;0;0.0337;0.898;0.0000263;0.113;116.022;257926;messianicpraise
57;Fergie;Velvet;0.389;0.661;-5.45;1;0.0468;0.000191;0.000104;0.194;175.951;252373;deepindierock
58;Andy Andy;Vida;0.678;0.991;-3.786;0;0.1;0.106;0.169;0.142;93.996;256120;breakcore
59;Nickelback;We Will Rock You;0.698;0.398;-10.584;0;0.0694;0.585;0.000000;0.175;81.269;122093;go-go
60;Scar Symmetry;Abstracted;0.487;0.99;-4.048;1;0.0539;0.0000304;0.0788;0.292;97.635;204957;celticmetal
61;Alice Stuart;BadGirl;0.429;0.934;-3.293;1;0.131;0.0000486;0.0000748;0.406;158.042;174893;alternativeamericana
62;Saga;Believe;0.702;0.913;-4.731;1;0.0439;0.101;0.147;0.0914;110.005;168551;deepchill-out
63;Kieran;BestFriends;0.577;0.452;-7.029;1;0.0409;0.239;0.964;0.172;85.945;200267;epicore
64;Vivian;Better;0.575;0.741;-2.904;1;0.0352;0.0826;0.000000;0.0958;109.987;183171;tropicalhouse
65;Aberdeen;BeyondtheLight;0.272;0.936;-4.319;1;0.127;0.00000434;0.759;0.442;138.047;298658;austrianmetal
66;John Hammond;BigBossMan;0.76;0.343;-15.661;1;0.0358;0.579;0.0000521;0.0545;78.058;173693;gospelblues
67;Carroll Thompson;Change;0.74;0.396;-12.915;0;0.0379;0.527;0.00414;0.875;81.653;263480;modernblues
68;KMD;ChangeYourMind;0.748;0.574;-8.249;1;0.0277;0.105;0.000000;0.266;115.972;120594;deepdancepop
69;Turibio Santos;Dengoso;0.535;0.378;-11.525;1;0.0509;0.934;0.922;0.186;81.083;251067;choro
70;Becoming The Archetype;ExNihilo;0.346;0.91;-5.97;1;0.0711;0.0000238;0.814;0.0912;119.902;450213;finnishblackmetal
71;Quincy Jones;Exodus;0.607;0.749;-4.497;1;0.0728;0.00641;0.0000766;0.234;121.829;126224;gothicmetal
72;React;Fabrication;0.769;0.835;-9.909;0;0.0795;0.00925;0.876;0.0969;130.011;428129;darktechno
73;Damita Jo;FacetoFace;0.874;0.437;-10.234;0;0.0706;0.00135;0.0296;0.0293;117.79;240173;nuelectro
74;Izzy;GoingHome;0.574;0.581;-13.112;1;0.0325;0.349;0.855;0.16;78.462;249333;swedishsoul
75;Ayo;ILoveYou;0.606;0.947;-4.254;1;0.0521;0.0194;0.000162;0.08;154.485;167053;canadianpop
76;Uphill Battle;Memory;0.558;0.0395;-14.374;1;0.0734;0.967;0.876;0.0882;106.995;334263;dreampop
77;Bizarre Inc;Miracle;0.683;0.554;-7.643;0;0.0928;0.36;0.00000108;0.214;123.895;161853;deepchill-out
78;Mando Diao;MistyMountains;0.242;0.0156;-30.748;0;0.0366;0.858;0.000191;0.114;120.635;99680;celticmetal
79;Deathstar;Represent;0.619;0.726;-9.033;0;0.415;0.00531;0.0000155;0.0973;178.059;163617;norwegianhiphop
80;Silverchair;Roses;0.362;0.453;-12.279;1;0.043;0.0983;0.000413;0.187;117.687;292200;belgianpop
81;Gerald Clayton;AllofYou;0.578;0.277;-13.608;0;0.0297;0.296;0.773;0.114;136.99;589317;psychill
82;Goose;Everybody;0.559;0.72;-5.392;0;0.135;0.038;0.000000;0.328;74.05;242907;reggaerock
